Datum;Zeit;Kohlendioxid (CO2)[mg/m³];Temperatur[°C];Luftdruck[hPa]
01.12.2019;01:00;867;-3,5;1023
01.12.2019;02:00;885;-3,6;1023
01.12.2019;03:00;890;-3,2;1022
01.12.2019;04:00;883;-3,4;1022
01.12.2019;05:00;891;-3,6;1022
01.12.2019;06:00;903;-3,5;1022
01.12.2019;07:00;902;-3,8;1021
01.12.2019;08:00;898;-3,6;1020
01.12.2019;09:00;851;-2,8;1020
01.12.2019;10:00;879;-2,2;1021
01.12.2019;11:00;772;-0,6;1021
01.12.2019;12:00;753;-;1020
01.12.2019;13:00;748;1,4;1020
01.12.2019;14:00;740;2,4;1020
01.12.2019;15:00;747;2,4;1019
01.12.2019;16:00;746;2,2;1019
01.12.2019;17:00;753;1,8;1019
01.12.2019;18:00;757;1,6;1019
01.12.2019;19:00;755;1,6;1019
01.12.2019;20:00;758;1,6;1020
01.12.2019;21:00;760;1,4;1020
01.12.2019;22:00;766;1,2;1020
01.12.2019;23:00;768;1,1;1020
01.12.2019;24:00;764;1,0;1021
02.12.2019;01:00;758;0,8;1021
02.12.2019;02:00;758;0,4;1022
02.12.2019;03:00;775;-0,3;1022
02.12.2019;04:00;794;-2,0;1022
02.12.2019;05:00;796;-2,3;1023
02.12.2019;06:00;825;-2,8;1023
02.12.2019;07:00;843;-3,4;1024
02.12.2019;08:00;866;-2,9;1024
02.12.2019;09:00;881;-2,7;1025
02.12.2019;10:00;840;-1,0;1026
02.12.2019;11:00;784;1,4;1026
02.12.2019;12:00;764;2,2;1026
02.12.2019;13:00;769;3,4;1026
02.12.2019;14:00;776;3,6;1026
02.12.2019;15:00;773;3,4;1026
02.12.2019;16:00;773;3,0;1026
02.12.2019;17:00;785;2,8;1026
02.12.2019;18:00;787;2,3;1027
02.12.2019;19:00;809;1,0;1027
02.12.2019;20:00;823;0,8;1028
02.12.2019;21:00;809;2,0;1028
02.12.2019;22:00;802;1,8;1028
02.12.2019;23:00;818;1,3;1029
02.12.2019;24:00;812;1,4;1029
03.12.2019;01:00;815;1,3;1029
03.12.2019;02:00;830;1,0;1029
03.12.2019;03:00;833;1,1;1029
03.12.2019;04:00;812;1,7;1029
03.12.2019;05:00;832;1,7;1029
03.12.2019;06:00;827;1,8;1029
03.12.2019;07:00;846;1,7;1029
03.12.2019;08:00;856;2,0;1029
03.12.2019;09:00;866;2,1;1029
03.12.2019;10:00;860;2,4;1030
03.12.2019;11:00;846;3,0;1030
03.12.2019;12:00;840;3,4;1030
03.12.2019;13:00;826;4,4;1029
03.12.2019;14:00;824;4,6;1029
03.12.2019;15:00;830;4,6;1028
03.12.2019;16:00;824;4,4;1028
03.12.2019;17:00;822;4,0;1028
03.12.2019;18:00;816;4,0;1028
03.12.2019;19:00;817;4,0;1028
03.12.2019;20:00;810;4,0;1028
03.12.2019;21:00;824;3,2;1028
03.12.2019;22:00;813;3,0;1028
03.12.2019;23:00;807;2,4;1028
03.12.2019;24:00;802;1,8;1028
04.12.2019;01:00;805;1,2;1027
04.12.2019;02:00;801;0,8;1027
04.12.2019;03:00;796;0,5;1026
04.12.2019;04:00;804;0,3;1026
04.12.2019;05:00;800;-0,0;1025
04.12.2019;06:00;807;-0,7;1025
04.12.2019;07:00;814;-0,8;1025
04.12.2019;08:00;825;-1,2;1026
04.12.2019;09:00;821;-1,3;1026
04.12.2019;10:00;823;-1,2;1026
04.12.2019;11:00;826;-0,4;1025
04.12.2019;12:00;808;0,5;1025
04.12.2019;13:00;800;1,7;1024
04.12.2019;14:00;794;3,2;1023
04.12.2019;15:00;782;5,4;1022
04.12.2019;16:00;773;4,6;1022
04.12.2019;17:00;791;2,0;1022
04.12.2019;18:00;820;-0,1;1022
04.12.2019;19:00;839;-1,0;1022
04.12.2019;20:00;856;-1,6;1022
04.12.2019;21:00;875;-2,0;1022
04.12.2019;22:00;872;-2,4;1022
04.12.2019;23:00;892;-2,8;1022
04.12.2019;24:00;903;-3,2;1022
05.12.2019;01:00;913;-2,7;1022
05.12.2019;02:00;869;-2,4;1022
05.12.2019;03:00;848;-2,5;1022
05.12.2019;04:00;841;-2,8;1022
05.12.2019;05:00;846;-3,3;1022
05.12.2019;06:00;838;-3,5;1022
05.12.2019;07:00;838;-3,8;1022
05.12.2019;08:00;848;-3,8;1022
05.12.2019;09:00;852;-4,2;1022
05.12.2019;10:00;863;-3,6;1023
05.12.2019;11:00;848;-2,4;1024
05.12.2019;12:00;849;-2,2;1024
05.12.2019;13:00;869;-1,9;1023
05.12.2019;14:00;863;-1,7;1023
05.12.2019;15:00;873;-1,8;1022
05.12.2019;16:00;862;-1,8;1022
05.12.2019;17:00;862;-1,8;1022
05.12.2019;18:00;852;-2,0;1022
05.12.2019;19:00;855;-2,1;1022
05.12.2019;20:00;839;-2,0;1022
05.12.2019;21:00;836;-1,8;1022
05.12.2019;22:00;835;-1,8;1022
05.12.2019;23:00;833;-2,0;1021
05.12.2019;24:00;833;-2,0;1021
06.12.2019;01:00;816;-2,2;1020
06.12.2019;02:00;821;-2,2;1020
06.12.2019;03:00;819;-2,4;1020
06.12.2019;04:00;816;-2,4;1019
06.12.2019;05:00;805;-2,2;1019
06.12.2019;06:00;806;-2,1;1019
06.12.2019;07:00;801;-2,2;1018
06.12.2019;08:00;804;-2,1;1018
06.12.2019;09:00;801;-2,0;1018
06.12.2019;10:00;788;-1,4;1018
06.12.2019;11:00;785;-0,7;1018
06.12.2019;12:00;780;-0,4;1018
06.12.2019;13:00;772;0,1;1016
06.12.2019;14:00;770;0,6;1015
06.12.2019;15:00;780;0,9;1014
06.12.2019;16:00;782;1,4;1014
06.12.2019;17:00;778;1,9;1013
06.12.2019;18:00;766;3,2;1012
06.12.2019;19:00;759;3,6;1012
06.12.2019;20:00;772;3,0;1011
06.12.2019;21:00;773;3,4;1011
06.12.2019;22:00;764;3,9;1010
06.12.2019;23:00;753;4,3;1010
06.12.2019;24:00;749;4,4;1010
07.12.2019;01:00;745;5,2;1010
07.12.2019;02:00;743;6,4;1009
07.12.2019;03:00;737;6,5;1009
07.12.2019;04:00;737;7,0;1010
07.12.2019;05:00;735;7,6;1010
07.12.2019;06:00;736;7,6;1010
07.12.2019;07:00;736;7,4;1012
07.12.2019;08:00;741;7,4;1012
07.12.2019;09:00;738;7,8;1013
07.12.2019;10:00;735;7,8;1014
07.12.2019;11:00;734;8,4;1014
07.12.2019;12:00;733;9,1;1015
07.12.2019;13:00;732;9,1;1015
07.12.2019;14:00;730;9,4;1015
07.12.2019;15:00;733;8,7;1015
07.12.2019;16:00;736;8,7;1016
07.12.2019;17:00;739;8,6;1016
07.12.2019;18:00;745;8,4;1017
07.12.2019;19:00;748;8,2;1017
07.12.2019;20:00;741;8,4;1017
07.12.2019;21:00;740;8,3;1017
07.12.2019;22:00;741;8,1;1017
07.12.2019;23:00;740;8,0;1016
07.12.2019;24:00;740;8,0;1016
08.12.2019;01:00;739;8,2;1016
08.12.2019;02:00;738;8,3;1016
08.12.2019;03:00;740;8,1;1014
08.12.2019;04:00;735;8,6;1013
08.12.2019;05:00;734;8,4;1012
08.12.2019;06:00;736;8,6;1012
08.12.2019;07:00;735;9,0;1010
08.12.2019;08:00;737;9,0;1010
08.12.2019;09:00;738;9,0;1009
08.12.2019;10:00;732;9,0;1009
08.12.2019;11:00;729;10,0;1008
08.12.2019;12:00;731;9,6;1007
08.12.2019;13:00;732;9,5;1006
08.12.2019;14:00;729;9,8;1006
08.12.2019;15:00;731;9,8;1005
08.12.2019;16:00;732;10,0;1004
